RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
1.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1010,58
2.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1011,57
3.0,China,Shanghai,Chinese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1012,56
4.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1013,51
5.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1014,66
6.0,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1015,78
7.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1016,70
8.0,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1017,53
9.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1018,71
10.0,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1019,52
11.0,Germany,Hockenheim,German Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1020,64
12.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1021,70
13.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1022,44
14.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1023,53
15.0,Singapore,Singapore,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1024,61
16.0,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1025,53
17.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1026,52
18.0,Mexico,Mexico City,Mexican Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1027,71
19.0,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1028,56
20.0,Brazil,São Paulo,Brazilian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1029,71
21.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1030,55
1.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1031,71
2.0,Austria,Spielberg,Styrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1032,71
3.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1033,70
4.0,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1034,52
5.0,Great Britain,Silverstone,70th Anniversary Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1035,52
6.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1036,66
7.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1037,44
8.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1038,53
9.0,Italy,Mugello,Tuscan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1039,59
10.0,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1040,53
11.0,Germany,Nürburgring,Eifel Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1041,60
12.0,Portugal,Portimão,Portuguese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1042,66
13.0,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,,,Qualifying,Race,2020,1043,63
14.0,Turkey,Istanbul,Turkish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1044,58
15.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1045,57
16.0,Bahrain,Sakhir,Sakhir Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1046,87
17.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1047,55
1.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1052,56
2.0,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1053,63
3.0,Portugal,Portimão,Portuguese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1054,66
4.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1055,66
5.0,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1056,78
6.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1057,51
7.0,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1059,53
8.0,Austria,Spielberg,Styrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1058,71
9.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1060,71
10.0,Great Britain,Silverstone,British Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2021,1061,52
11.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1062,70
12.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,,2021,1063,1
13.0,Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1064,72
14.0,Italy,Monza,Italian Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2021,1065,53
15.0,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1066,53
16.0,Turkey,Istanbul,Turkish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1067,58
17.0,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1069,56
18.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1070,71
19.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2021,1071,71
20.0,Qatar,Lusail,Qatar Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1051,57
21.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1072,50
22.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1073,58
1.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1074,57
