,Race Name,Laps
0,70th Anniversary Grand Prix,52
1,Abu Dhabi Grand Prix,58
2,Australian Grand Prix,58
3,Austrian Grand Prix,71
4,Azerbaijan Grand Prix,51
5,Bahrain Grand Prix,57
6,Barcelona Grand Prix,66
7,Belgian Grand Prix,44
8,Brazilian Grand Prix,71
9,British Grand Prix,52
10,Canadian Grand Prix,70
11,Chinese Grand Prix,56
12,Dutch Grand Prix,72
13,Eifel Grand Prix,60
14,Emilia Romagna Grand Prix,63
15,French Grand Prix,53
16,German Grand Prix,60
17,Hungarian Grand Prix,70
18,Italian Grand Prix,53
19,Japanese Grand Prix,53
20,Las Vegas Grand Prix,50
21,Mexican Grand Prix,71
22,Mexico City Grand Prix,71
23,Miami Grand Prix,57
24,Monaco Grand Prix,78
25,Portuguese Grand Prix,66
26,Pre-Season Test,
27,Pre-Season Test 1,
28,Pre-Season Test 2,
29,Pre-Season Testing,
30,Pre-Season Track Session,
31,Qatar Grand Prix,57
32,Russian Grand Prix,53
33,Sakhir Grand Prix,87
34,Saudi Arabian Grand Prix,50
35,Singapore Grand Prix,62
36,Spanish Grand Prix,66
37,Styrian Grand Prix,71
38,Sao Paulo Grand Prix,71
39,Turkish Grand Prix,58
40,Tuscan Grand Prix,59
41,United States Grand Prix,56
